NTT,Aiqal,LMS,tbl_CCRISEmploymentSector,/,/,/,"Model 1,
Key: ccris_employment_sector_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>","com.t_lmskibb2_tbl_counterparty, cur.ref_lookup",einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Aiqal,LMS,tbl_CCRISEmploymentType,/,/,/,"Model 1,
Key: ccris_employment_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>","com.t_lmskibb2_tbl_counterparty, cur.ref_lookup",einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CCRISEntityType,/,/,/,"Model 1,
Key: ccris_entity_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_CCRISIndustrialSector,/,/,/,"Model 1,
Key: ccris_industrial_sector_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_CCRISOccupation,/,/,/,"Model 1,
Key: ccris_occupation_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>","com.t_lmskibb2_tbl_counterparty, cur.ref_lookup",einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CCRISPrincipalRepaymentTerm,/,/,/,"Model 1,
Key: ccris_principal_repayment_term_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_loantranche;cur.ref_lookup,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_CCRISRace,/,/,/,"Model 1,
Key: race_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CCRISResidencyStatus,/,/,/,"Model 1,
Key: residency_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CCRISState,/,/,/,"Model 1,
Key: ccris_state_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CIFAnnualIncome,/,/,/,"Model 1,
Key: cif_annual_income_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_CIFNetWorth,/,/,/,"Model 1,
Key: cif_net_worth_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CompanyType,/,/,/,"Model 1,
Key: company_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_counterparty,/,/,/,"Model 3
Key: COUNTERPARTY_ID",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
