NTT,Faris,Data Lake - CUR,DIM_AGENT,,,,,,,/,"Partition: SOURCE_KEY (source_name + AGENT_TYPE)
Model by SOURCE_KEY: 
- MHBOS_AGENT : Model 1
- M21_AGENT : Model 1
- TOMS_AGENT : Model 3
- MHBOS_AGENT_ASSISTANT : Model 1
Key: Agent_Id",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc (mhbos); irem-acc-con (mhbos);irem-acc-agent (mhbos);irem-acc-agent-assistant (mhbos);einv-acc;einv-agent-profile;ailab-dm;irem-trx,irem-2b,NTT,,
NTT,Fatihah,Data Lake - CUR,DIM_AGENT_FINANCIAL_MAPPING,,,,,,,/,Follow existing script,,ALL,,irem-acc-trader-profile,irem-2b,NTT,"DEV, UAT",
NTT,Fatihah,Data Lake - CUR,DIM_AGENT_FINANCIAL_MAPPING_H,,,,,,,,"Partition: LOG_PERIOD (renamed from HIST_END_PERIOD)
",,"All, with partition",,irem-acc-trader-profile,irem-2b,NTT,"DEV, UAT",
NTT,Fatihah,Data Lake - CUR,DIM_AGENT_LICENCE,,,,,,,/,"Model 1
Key: AGENT_ID
Partition: source_key (same value as source_name)",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc-agent-cpe (mhbos),irem-2b,NTT,,
NTT,Faris,Data Lake - CUR,DIM_AGENT_TRADE_LIMIT,,,,,,,/,"Model 1
Key: AGENT_ID",,etl_dt = <last available date>,,irem-acc-trader-profile,irem-2b,NTT,,
NTT,Faris,Data Lake - CUR,DIM_AGENT_TRADE_MARKET,,,,,,,/,"Model 3
Key: Agent_Id, TRADE_MARKET_TYPE
Hash value = TRADE_MARKET_FLAG + TRADE_MARKET_LIMIT ",,etl_dt = <last available date>,,irem-acc-trader-profile,irem-2b,NTT,,
NTT,Faris,Data Lake - CUR,DIM_AGENT_TRADE_MARKET_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- records in existing but not in new for same AGENT_ID, SOURCE_NAME (removed records)",,"All, with partition",,irem-acc-trader-profile,irem-2b,NTT,,Script to be merged into main table script
NTT,Faris,Data Lake - CUR,DIM_AGENT_TRADE_SETTING,,,,,,,/,"Model 3
Key: AGENT_ID, TRADE_SETTING_TYPE
Hash value = TRADE_SETTING_FLAG + TRADE_SETTING_VALUE_STRING + TRADE_SETTING_VALUE_INTEGER",,etl_dt = <last available date>,,irem-acc-trader-profile,irem-2b,NTT,,
NTT,Faris,Data Lake - CUR,DIM_AGENT_TRADE_SETTING_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- records in existing but not in new for same AGENT_ID, SOURCE_NAME (removed records)",,"All, with partition",,irem-acc-trader-profile,irem-2b,NTT,,Script to be merged into main table script
NTT/KIBB (by source),Michael,Data Lake - CUR,DIM_BRANCH,,,,,,,/,"Model 1
Key: Branch_Id
Partition: source_key (same value as source_name)",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc (mhbos); irem-ref; irem-glled (mhbos);irem-acc-trader;irem-acc-trader-assistant;irem-acc-trader-profile;einv-acc;einv-ref (mhbos);einv-agent-profile;ailab-dm;irem-trx,irem-2b,NTT/KIBB (by source),,
KIBB,,Data Lake - CUR,DIM_BROKER,,,,,,,/,"Model 3
Key: BROKER_ID
hash value = BROKER_NAME + BROKER_STATUS + CLOSED_DATE",,etl_dt = <last available date>,,irem-ref,irem-6b,KIBB,,
KIBB,,Data Lake - CUR,DIM_BROKER_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- reocrds in previous snapshot but not in latest snapshot (removed records)",,"All, with partition",,irem-ref,irem-6b,KIBB,,Script to be merged into main table script
NTT,Michael,Data Lake - CUR,DIM_CDS_ACCOUNT,,,,,,,/,Model 2A,,etl_dt = <last available date>,,irem-acc;irem-acc-trader,irem-2b,NTT,,
KIBB,,Data Lake - CUR,DIM_CDS_DORMANT_ACCOUNT_NOTICE,,,,,,,/,Follow existing script,,All,,irem-dormant,irem-10,KIBB,,
KIBB,,Data Lake - CUR,DIM_CDS_DORMANT_ACCOUNT_NOTICE_H,,,,,,,,Partition: LOG_PERIOD (etl_timestamp in YYYYMM),,"All, with partition",,irem-dormant,irem-10,KIBB,,
KIBB,,Data Lake - CUR,DIM_CONNECTED_PARTY,,,,,,,/,Model 2A,,etl_dt = <last available date>,cur.dim_declaration,irem-acc (mhbos); irem-cust(mhbos);einv-cust,irem-1b,KIBB,,
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_CONTACT,,,,,,,/,"Model 3 (Delete and insert based on Keys - to handle if address removed in source)
Key: Source_Key, Address_Owner_Type, Owner_Id
Partition: Source_Key (source_name + address_owner_type)
- CUSTOMER (address_owner_type = 'CUSTOMER', no need populate source_name, leave source_name as null)
- GUAVA_ACCOUNT
- KDI_ACCOUNT
- LMS_ACCOUNT
- M21_ACCOUNT
- M21_AGENT
- MHBOS_ACCOUNT
- MHBOS_AGENT
- MHBOS_AGENT_ASSISTANT
- MHBOS_BRANCH
- MUSASHI_ACCOUNT
- SBL_ACCOUNT
- TOMS_ACCOUNT
- TOMS_AGENT",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,,irem-1b,NTT/KIBB (by source),,
NTT/KIBB (by source),Michael,Data Lake - CUR,DIM_CRS,,,,,,,/,"Model 6 
Model 1
Key: Source_Name, Customer_Id, CRS_COUNTRY, TAXPAYER_IDENTIFICATION_NO_1
Partition: source_key (same value as source_name)
Hash value: CRS_ENTITY_TYPE+NAME_OF_CONTROLLING_PERSON_1+NAME_OF_CONTROLLING_PERSON_2+CRS_COUNTRY+CRS_TAX_RESIDENCE+TAXPAYER_IDENTIFICATION_NO_1+TAXPAYER_IDENTIFICATION_NO_2+TIN_UNAVAILABLE_REASON+TIN_REMARKS",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-acc-lob (m21); irem-crs (mhbos);einv-cust,irem-2b,NTT/KIBB (by source),,CUR - Customer level by source system
NTT,Michael,Data Lake - CUR,DIM_CRS_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- reocrds in previous snapshot but not in latest snapshot (removed records)",,"All, with partition",,irem-acc-lob (m21); irem-crs (mhbos);einv-cust,irem-2b,NTT,,Script to be merged into main table script
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_CUSTOMER,,,,,,,/,"Model 1
Key: Customer_Id

*To split records with DL_Record_Status = 'X' into history table
*To log outdated cur records into history table (dim_customer_h)",,etl_dt = <last available date>,,"irem-acc (mhbos); irem-acc-bank (mhbos); irem-acc-lob (m21, toms);irem-cust (mhbos);einv-cust;ailab-dm",irem-1b,NTT/KIBB (by source),,
NTT,CK,Data Lake - CUR,DIM_CUSTOMER_CUSTOM,,,,,,,/,Model 2A,,tl_dt = <last available date>,,einv-cust,einv-1b,NTT,,Only for rakuten
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_CUSTOMER_EMPLOYMENT,,,,,,,/,"Model 3
Key: Customer_Id
Partition: Source_Key (same value as source_name)
Hash value = CUSTOMER_EMPLOYER_NAME + CUSTOMER_EMPLOYER_INDUSTRY + CUSTOMER_EMPLOYER_TYPE + CUSTOMER_AMLA_OCCUPATION + CUSTOMER_CCRIS_OCCUPATION + CUSTOMER_EMPLOYER_TYPE_OF_BUSINESS",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-cust(mhbos);ailab-dm,irem-1b,NTT/KIBB (by source),,CUR - Customer level by source system
NTT/KIBB (by source),,Data Lake - CUR,DIM_CUSTOMER_EMPLOYMENT_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- key in existing but not in new (removed records)",,"All, with partition",,irem-cust(mhbos);ailab-dm,irem-1b,NTT/KIBB (by source),,Script to be merged into main table script
KIBB,,Data Lake - CUR,DIM_CUSTOMER_RETIREMENT,,,,,,,,,,N/A,,other,other-1b,KIBB,-,Yet to develop
KIBB,,Data Lake - CUR,DIM_CUSTOMER_UNIT_TRUST,,,,,,,/,,,N/A,,other,other-1b,KIBB,,Not needed
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_DECLARATION,,,,,,,/,"Model 3
Key: Customer_Id, DECLARATION_TYPE
Partition: Source_Key (same value as source_name)
Hash value = DECLARATION_FLAG + DECLARATION_VALUE_STRING + DECLARATION_VALUE_INTEGER",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",cur.dim_customer,irem-acc (mhbos); irem-cust (mhbos),irem-1b,NTT/KIBB (by source),,CUR - Customer level by source system
NTT/KIBB (by source),,Data Lake - CUR,DIM_DECLARATION_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- key in existing but not in new (removed records)",,"All, with partition",,irem-acc (mhbos); irem-acc-lob (m21);irem-cust (mhbos);einv-cust,irem-1b,NTT/KIBB (by source),,Script to be merged into main table script
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_FATCA,,,,,,,/,"Model 3
Key: Customer_Id
Partition: Source_Key (same value as source_name)
Hash value = FATCA_ACCOUNT_TYPE + FATCA_ACCOUNT_CLASSIFICATION + FATCA_ENTITY_TYPE + FATCA_US_TAX_PAYER_NO + FATCA_DOCUMENT_TYPE + FATCA_RECIEVED_DATE + FATCA_EXPIRY_DATE",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",cur.dim_customer,irem-acc (mhbos);irem-cust(mhbos);einv-cust,irem-1b,NTT/KIBB (by source),,CUR - Customer level by source system
NTT/KIBB (by source),,Data Lake - CUR,DIM_FATCA_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- key in existing but not in new (removed records)",,"All, with partition",,irem-acc (mhbos);irem-cust(mhbos);einv-cust,irem-1b,NTT/KIBB (by source),,Script to be merged into main table script
KIBB,,Data Lake - CUR,DIM_FUND,,,,,,,/,follow existing script,,All,,other,other-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - CUR,DIM_FUND_H,,,,,,,,"Partition: LOG_PERIOD (renamed from END_PERIOD)
",,"All, with partition",,other,other-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - CUR,"DIM_GL_JOURNAL_HEADER
*Rename to prefix FACT",,,,,,,/,follow existing script,,All,,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,"DIM_GL_JOURNAL_HEADER_H
*Rename to prefix FACT",,,,,,,/,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,other,other-1b,KIBB,,Propose rename table with prefix FACT
KIBB,,Data Lake - CUR,DIM_INDICATORS,,,,,,,/,Follow existing script,,All,,einv-cust,einv-1b,KIBB,,
KIBB,,Data Lake - CUR,DIM_INDICATORS_H,,,,,,,,Partition: LOG_PERIOD (end_timestamp in YYYYMM),,"All, with partition",,einv-cust,einv-1b,KIBB,,
KIBB,,Data Lake - CUR,DIM_INTERNAL_BANK,,,,,,,/,Follow existing script,,All,,irem-ref,irem-6b,KIBB,,
KIBB,,Data Lake - CUR,DIM_INTERNAL_BANK_H,,,,,,,,Partition: LOG_PERIOD (etl_timestamp in YYYYMM),,"All, with partition",,irem-ref,irem-6b,KIBB,,
KIBB,,Data Lake - CUR,DIM_JOINT_ACCOUNT_HOLDER,,,,,,,/,"Model 6
Key: account_id
Partition: source_key",,"etl_dt = <last_available_date>, with partition defined in column L",,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,DIM_MARGIN_THIRD_PARTY_PLEDGOR,,,,,,,/,"Model 5B
Key: DATE_CREATED in YYYY-MM-DD",,All,,irem-pledgor,irem-9,KIBB,,
KIBB,,Data Lake - CUR,DIM_NOMINEES_ACCOUNT,,,,,,,/,"Model 3
Key: Account_Id",,N/A,,other,other-1b,KIBB,,"Job/flow not scheduled in Prod, and table not exist"
NTT/KIBB (by source),CK,Data Lake - CUR,DIM_RISK_PROFILE,,,,,,,/,"Model 3
Key: Customer_Id
Partition: Source_Key (same value as source_name)
Hash value = AMLATF_RISK + ESTIMATED_NETWORTH + ANNUAL_INCOME",,"etl_dt = <last available date>
*To partition the data according to column L partition value. ",,irem-cust (mhbos);ailab-dm,irem-1b,NTT/KIBB (by source),,CUR - Customer level by source system
NTT/KIBB (by source),,Data Lake - CUR,DIM_RISK_PROFILE_H,,,,,,,/,"Partition: LOG_PERIOD (etl_timestamp in YYYYMM)

Log records when: 
- hash value different in existing vs new (changed records)
- key in existing but not in new (removed records)",,"All, with partition",,irem-cust (mhbos);ailab-dm,irem-1b,NTT/KIBB (by source),,Script to be merged into main table script
KIBB,,Data Lake - CUR,DIM_SBL_LOAN,,,,,,,/,follow existing script,,All,,ailab-dm,ailab-3b,KIBB,DEV,Development in progress
NTT,CK,Data Lake - CUR,DIM_STOCK,,,,,,,/,"Model 1
Key: Stock_Id",,etl_dt = <last available date>,,irem-acc-con (mhbos); irem-ledger (mhbos);irem-stock;irem-acc-agent;einv-ref,irem-2b,NTT,,
KIBB,,Data Lake - CUR,DIM_STOCK_EXCHANGE,,,,,,,/,"Model 1
Key: STOCK_EXCHANGE_ID",,etl_dt = <last available date>,,irem-stock,irem-7,KIBB,,
NTT,Michael,Data Lake - CUR,DIM_TRADING_CONTRACT,,,,,,,/,"Model 3
Key: TRADING_CONTRACT_ID",,etl_dt = <last available date>,,irem-acc-con;irem-acc-agent;ailab-dm,irem-2b,NTT,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_KDI,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_LMS,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_M21_A,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_M21_O,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_MHBOS,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_RAK,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_SBL,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_ACC_TOMS,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_KDI_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_LMS_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_M21_A_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_M21_O_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_CONTRACT_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_CTR_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_GLLED_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_LEDGER_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_PAYT_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_REC_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_MHBOS_T_SETOFF_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_RAK_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_SBL_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_SMF_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,EXC_MISSING_TRX_TOMS_COUNT,,,,,,,/,follow existing with etl_dt partition,/,"All, with partition",,einv-exc,einv-5,KIBB,,
KIBB,,Data Lake - CUR,FACT_AGENT_TRANSACTION_EVENT,,,,,,,/,"Model 5B
Key: source_key, transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,"All, with partition updated using column transaction_date in YYYYMM",,einv-trx (toms),einv-2b,KIBB,,
NTT/KIBB (by source),CK,Data Lake - CUR,FACT_CURRENCY_CONVERSION_RATE,,,,,,,/,"Model 6
Key: source_key, CONVERSION_RATE_DATE",,"RAW: All (Prod)
COM_T: All",,"irem-ref (mhbos), einv-ref",irem-6b,NTT/KIBB (by source),,
KIBB,,Data Lake - CUR,FACT_DIGITAL_INVEST_POSITION,,,,,,,/,follow existing script,,All,,ailab-dm,ailab-3b,KIBB,"DEV, UAT",Development in progress
KIBB,,Data Lake - CUR,FACT_EPAYMENT,,,,,,,/,Follow existing script,,All,,irem-trx,irem-8,KIBB,,
KIBB,,Data Lake - CUR,FACT_GL_JOURNAL_DETAIL,,,,,,,/,Follow existing script,,All,,irem-glled;einv-trx,irem-12,KIBB,,
NTT,,Data Lake - CUR,FACT_GL_JOURNAL_DETAIL_H,,,,,,,,Partition: LOG_PERIOD (end_timestamp in YYYYMM),,N/A,,einv-trx,einv-2b,NTT,,Not needed
KIBB,,Data Lake - CUR,FACT_LOAN_PAYMENT_SCHEDULE,,,,,,,/,"Model 6
Key: LOAN_TRANCHE_HEADER_ID",,All,,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,FACT_LOAN_PAYMENT_SCHEDULE_H,,,,,,,,,,N/A,,other,other-1b,KIBB,,Not needed
KIBB,,Data Lake - CUR,FACT_LOAN_POSITION,,,,,,,/,Follow existing script,,All,,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,FACT_LOAN_POSITION_H,,,,,,,,,,N/A,,other,other-1b,KIBB,,Not needed
KIBB,,Data Lake - CUR,"FACT_LOAN_TRANCHE
*Rename to prefix DIM",,,,,,,/,"Model 3
Key: HEADER_ID",,All,,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,"FACT_LOAN_TRANCHE_H
*Rename to prefix DIM",,,,,,,,Partition: LOG_PERIOD (renamed from END_PERIOD),,"All, with partition",,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,FACT_MARGIN_POSITION,,,,,,,/,follow existing script,,All,,ailab-dm,ailab-3b,KIBB,"DEV, UAT",Development in progress
KIBB,,Data Lake - CUR,FACT_MARGIN_POSITION_H,,,,,,,,,,N/A,,ailab-dm,ailab-3b,KIBB,,Not needed
KIBB,,Data Lake - CUR,FACT_PRICE,,,,,,,/,"Model 2B
Key: Valuation_Date
Partition: year_month (valuation_date in YYYYMM)",,"All, with partition",,other,other-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - CUR,FACT_PRICE_H,,,,1,,,/,,,N/A,,other,other-1b,KIBB,"DEV, UAT",Not needed
KIBB,,Data Lake - CUR,FACT_SBL_LOAN_POSITION,,,,,,,/,follow existing script,,All,,ailab-dm,ailab-3b,KIBB,DEV,Development in progress
KIBB,,Data Lake - CUR,FACT_STOCK_CLOSING,,,,,,,/,"Model 5b
Key: closing_date
Partition: YEAR_MONTH (closing_date in YYYYMM)",,"All, with partition defined in column L",,irem-stock,irem-7,KIBB,,
NTT,CK,Data Lake - CUR,FACT_TRADING_CONTRA_HEADER,,,,,,,/,"Follow existing script.
Remove query section of insert to history table.",,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_CONTRA_HEADER_H,,,,,,,,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,einv-trx,einv-2b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_CONTRACT_BALANCE,,,,,,,/,"Model 2B
Key: balance_date
partition: year_month (balance_date in YYYYMM)",,"All, with partition",,,other-1b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_LEDGER_DETAIL,,,,,,,/,"Model 5B
Key: CREATED_DATE
Partition: YEAR_MONTH (CREATED_DATE in YYYYMM)
*additional changes in script required 
- to map field TRANSACTION_DATE = t_ledger_dt.tran_date
- to add new field CREATED_DATE = t_ledger_dt.date_created",,"Full reload from COM_T, as old DL transaction_date in CUR is incorrect logic. 
To partition according to column L",,einv-trx,einv-2b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_LEDGER_HEADER,,,,,,,/,Follow existing script.,,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_LEDGER_HEADER_H,,,,,,,,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,einv-trx,einv-2b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_OTHER_BALANCE,,,,,,,/,"Model 2B
Key: balance_date
partition: year_month (balance_date in YYYYMM)",,"All, with partition",,,other-1b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_PAYMENT_DETAIL,,,,,,,/,"Follow existing script.
Remove query section of insert to history table.",,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_PAYMENT_DETAIL_H,,,,,,,,,,N/A,,einv-trx,einv-2b,NTT,,Not needed
NTT,CK,Data Lake - CUR,FACT_TRADING_PAYMENT_HEADER,,,,,,,/,Follow existing script.,,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_PAYMENT_HEADER_H,,,,,,,,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,einv-trx,einv-2b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_RECEIPT_DETAIL,,,,,,,/,"Follow existing script.
Remove query section of insert to history table.",,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_RECEIPT_DETAIL_H,,,,,,,,,,N/A,,einv-trx,einv-2b,NTT,,Not needed
NTT,CK,Data Lake - CUR,FACT_TRADING_RECEIPT_HEADER,,,,,,,/,Follow existing script.,,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_RECEIPT_HEADER_H,,,,,,,,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,einv-trx,einv-2b,NTT,,
NTT,CK,Data Lake - CUR,FACT_TRADING_SETOFF_DETAIL,,,,,,,/,"Follow existing script.
Remove query section of insert to history table.",,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_SETOFF_DETAIL_H,,,,,,,,,,N/A,,einv-trx,einv-2b,NTT,,Not needed
NTT,CK,Data Lake - CUR,FACT_TRADING_SETOFF_HEADER,,,,,,,/,Follow existing script.,,All,,einv-trx,einv-2b,NTT,,
NTT,,Data Lake - CUR,FACT_TRADING_SETOFF_HEADER_H,,,,,,,,"Partition: follow existing (rename END_PERIOD to LOG_PERIOD)
",,"All, with partition",,einv-trx,einv-2b,NTT,,
KIBB,,Data Lake - CUR,FACT_TRADING_STOCK_BALANCE,,,,,,,/,"Model 2B
Key: stock_balance_date
partition: year_month (stock_balance_datein YYYYMM)",,"All, with partition",,other,other-1b,KIBB,,
KIBB,,Data Lake - CUR,FACT_TRADING_TRUST_BALANCE,,,,,,,/,"Model 2B
Key: balance_date
partition: year_month (balance_date in YYYYMM)",,"All, with partition",,other,other-1b,KIBB,,
"NTT/KIBB 
(by source)",CK,Data Lake - CUR,FACT_TRANSACTION_EVENT,,,,,,,/,"Model 5B
Key: source_key, transaction_date
Partition: year_month (transaction_date in YYYYMM)",,"All, with partition updated using column transaction_date in YYYYMM",,einv-trx;ailab-dm,einv-2c,"NTT/KIBB 
(by source)",,
NTT,CK,Data Lake - CUR,LEDGER_CLIENT_LIMIT,,,,,,,/,Model 2A,,etl_dt = <last available date>,,irem-ledger;ailab-dm,irem-5b,NTT,,
KIBB,,Data Lake - CUR,LEDGER_CLIENT_STOCK_PRICE,,,,,,,/,Model 2A,,etl_dt = <last available date>,,other,other-1b,KIBB,,
NTT,Aiqal,Data Lake - CUR,LEDGER_FOREX_RATE,,,,,,,/,Model 2A,,All,,irem-acc-agent,irem-2b,NTT,,
NTT,CK,Data Lake - CUR,LEDGER_FUND_PENDING_CLEARANCE,,,,,,,/,Model 2A,,etl_dt = <last available date>,,irem-ledger,irem-5b,NTT,,
NTT,Aiqal,Data Lake - CUR,LEDGER_OUTSTANDING_TRANSACTION,,,,,,,/,Model 2A,,All,cur.ledger_position_summary,irem-ledger;irem-acc-agent;ailab-dm,irem-2b,NTT,,
NTT,CK,Data Lake - CUR,LEDGER_POSITION_SUMMARY,,,,,,,/,"Model 2B
Partition: year_month (Snapshot_date in YYYYMM)
*add new column Snapshot_Date = etl_dt",,"All, with partition",,irem-ledger,irem-5b,NTT,,
NTT,Aiqal,Data Lake - CUR,LEDGER_STOCK_BALANCE,,,,,,,/,"Model 2B
Partition: year_month (Snapshot_date in YYYYMM)
*add new column Snapshot_Date = etl_dt",,"All, with partition",cur.ledger_position_summary,irem-ledger; irem-stock-bal;irem-acc-agent;ailab-dm,irem-2b,NTT,,
NTT,Aiqal,Data Lake - CUR,LEDGER_TRUST_BALANCE,,,,,,,/,"Model 2B
Partition: year_month (Snapshot_date in YYYYMM)
*add new column Snapshot_Date = etl_dt",,"All, with partition",cur.ledger_position_summary,irem-ledger;ailab-dm,irem-5b,NTT,,
KIBB,,Data Lake - CUR,LOG_FIELD_VALUE_CHANGE,,,,,,,/,follow existing script,,All,,ailab-dm,ailab-3b,KIBB,,
NTT,Aiqal,Data Lake - CUR,REF_BANK,,,,,,,/,Follow existing script,,All,,irem-ref; irem-acc-bank (mhbos),irem-2b,NTT,,
NTT,,Data Lake - CUR,REF_BANK_H,,,,,,,,Partition: LOG_PERIOD (renamed from END_PERIOD),,"All, with partition",,irem-ref,irem-2b,NTT,,
KIBB,,Data Lake - CUR,REF_COUNTRY,,,,,,,/,"Model 1
Key: COUNTRY_CODE",,etl_dt = <last available date>,cur.dim_customer,irem-acc; irem-ref; irem-acc-lob;irem-acc-trader; irem-cust;einv-acc;einv-cust;einv-ref,irem-1b,KIBB,,
